max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,learning_rate_XGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
9,9,100,0.1,0.9,0.9,16,0.1,10,0.200707657,0.799292343
9,9,100,0.1,0.9,0.9,16,0.01,10,0.200769882,0.799230118
7,7,100,0.1,0.9,0.9,16,0.01,10,0.200799799,0.799200201
5,5,100,0.1,0.9,0.9,16,0.01,10,0.200799909,0.799200091
7,7,100,0.1,0.9,0.9,16,0.1,10,0.200802733,0.799197267
7,7,100,0.1,0.9,0.9,16,1,10,0.200808823,0.799191177
5,5,100,0.1,0.9,0.9,16,0.1,10,0.20088712,0.79911288
5,5,100,0.1,0.9,0.9,48,0.01,10,0.200973111,0.799026889
5,5,100,0.1,0.9,0.9,16,1,10,0.200985882,0.799014118
5,5,100,0.1,0.9,0.9,48,0.1,10,0.200989048,0.799010952
9,9,100,0.1,0.9,0.9,16,1,10,0.201174105,0.798825895
7,7,100,0.1,0.9,0.9,48,0.1,10,0.20129303,0.79870697
7,7,100,0.1,0.9,0.9,48,1,10,0.201305631,0.798694369
5,5,100,0.1,0.9,0.9,48,1,10,0.201308723,0.798691277
7,7,100,0.1,0.9,0.9,48,0.01,10,0.20132155,0.79867845
9,9,100,0.1,0.9,0.9,48,0.1,10,0.201387801,0.798612199
9,9,100,0.1,0.9,0.9,48,0.01,10,0.201390568,0.798609432
9,9,100,0.1,0.9,0.9,48,1,10,0.201599462,0.798400538
5,5,100,0.1,0.7,0.7,16,0.01,10,0.201966587,0.798033413
5,5,100,0.1,0.7,0.7,16,0.1,10,0.201988049,0.798011951
7,7,100,0.1,0.7,0.7,16,0.01,10,0.202240031,0.797759969
3,3,100,0.1,0.7,0.7,144,0.01,10,0.202311153,0.797688847
3,3,100,0.1,0.7,0.7,144,0.1,10,0.202311607,0.797688393
7,7,100,0.1,0.7,0.7,16,0.1,10,0.202322645,0.797677355
5,5,100,0.1,0.9,0.9,80,0.01,10,0.202327904,0.797672096
5,5,100,0.1,0.7,0.7,16,1,10,0.202337658,0.797662342
5,5,100,0.1,0.9,0.9,80,0.1,10,0.202353625,0.797646375
5,5,100,0.1,0.7,0.7,144,0.01,10,0.202424443,0.797575557
5,5,100,0.1,0.7,0.7,144,0.1,10,0.202429477,0.797570523
5,5,100,0.1,0.7,0.7,144,1,10,0.202430999,0.797569001
3,3,100,0.1,0.7,0.7,144,1,10,0.20245361,0.79754639
9,9,100,0.1,0.7,0.7,144,1,10,0.202483126,0.797516874
7,7,100,0.1,0.7,0.7,144,0.01,10,0.20248373,0.79751627
9,9,100,0.1,0.7,0.7,144,0.01,10,0.20249082,0.79750918
9,9,100,0.1,0.7,0.7,144,0.1,10,0.202493777,0.797506223
7,7,100,0.1,0.7,0.7,144,0.1,10,0.202496563,0.797503437
7,7,100,0.1,0.7,0.7,144,1,10,0.202515943,0.797484057
5,5,100,0.1,0.9,0.9,80,1,10,0.202529856,0.797470144
7,7,100,0.1,0.7,0.7,16,1,10,0.202547931,0.797452069
7,7,100,0.1,0.9,0.9,80,0.1,10,0.20260344,0.79739656
7,7,100,0.1,0.9,0.9,80,0.01,10,0.202607126,0.797392874
9,9,100,0.1,0.7,0.7,16,0.01,10,0.202623922,0.797376078
9,9,100,0.1,0.7,0.7,16,0.1,10,0.202642524,0.797357476
7,7,100,0.1,0.9,0.9,80,1,10,0.202646754,0.797353246
9,9,100,0.1,0.9,0.9,80,0.1,10,0.202666464,0.797333536
9,9,100,0.1,0.9,0.9,80,0.01,10,0.202691936,0.797308064
9,9,100,0.1,0.7,0.7,16,1,10,0.202763461,0.797236539
9,9,100,0.1,0.9,0.9,80,1,10,0.202777868,0.797222132
5,5,100,0.1,0.7,0.7,48,0.01,10,0.202866225,0.797133775
5,5,100,0.1,0.7,0.7,48,0.1,10,0.20292694,0.79707306
7,7,100,0.1,0.7,0.7,48,0.1,10,0.203131943,0.796868057
5,5,100,0.1,0.7,0.7,48,1,10,0.203137307,0.796862693
7,7,100,0.1,0.7,0.7,48,0.01,10,0.203174,0.796826
7,7,100,0.1,0.7,0.7,48,1,10,0.20323774,0.79676226
5,5,200,0.05,0.9,0.9,80,0.01,10,0.203278151,0.796721849
5,5,200,0.05,0.9,0.9,80,0.1,10,0.203286042,0.796713958
9,9,100,0.1,0.7,0.7,48,1,10,0.203366547,0.796633453
9,9,100,0.1,0.7,0.7,48,0.01,10,0.203384665,0.796615335
9,9,100,0.1,0.7,0.7,48,0.1,10,0.203393613,0.796606387
5,5,200,0.05,0.7,0.7,16,0.01,10,0.203448823,0.796551177
5,5,200,0.05,0.7,0.7,16,0.1,10,0.20345259,0.79654741
7,7,200,0.05,0.7,0.7,16,0.01,10,0.203465576,0.796534424
7,7,200,0.05,0.7,0.7,16,0.1,10,0.203482475,0.796517525
7,7,200,0.05,0.7,0.7,16,1,10,0.203543365,0.796456635
5,5,200,0.05,0.7,0.7,16,1,10,0.203544063,0.796455937
9,9,200,0.05,0.7,0.7,16,0.1,10,0.203641869,0.796358131
9,9,200,0.05,0.7,0.7,16,0.01,10,0.203649159,0.796350841
5,5,200,0.05,0.7,0.7,48,0.01,10,0.20369101,0.79630899
5,5,200,0.05,0.7,0.7,48,0.1,10,0.203705946,0.796294054
9,9,200,0.05,0.7,0.7,16,1,10,0.203706751,0.796293249
5,5,100,0.1,0.9,0.9,112,0.01,10,0.20374979,0.79625021
5,5,200,0.05,0.7,0.7,48,1,10,0.203774198,0.796225802
5,5,100,0.1,0.9,0.9,112,0.1,10,0.203789321,0.796210679
7,7,200,0.05,0.7,0.7,48,0.1,10,0.203795003,0.796204997
7,7,200,0.05,0.7,0.7,48,0.01,10,0.203810719,0.796189281
7,7,100,0.1,0.9,0.9,112,0.01,10,0.203826518,0.796173482
7,7,100,0.1,0.9,0.9,112,0.1,10,0.203828377,0.796171623
7,7,100,0.1,0.9,0.9,112,1,10,0.203830079,0.796169921
7,7,200,0.05,0.7,0.7,48,1,10,0.203844649,0.796155351
5,5,100,0.1,0.9,0.9,112,1,10,0.203844902,0.796155098
9,9,100,0.1,0.9,0.9,112,0.1,10,0.203856804,0.796143196
9,9,100,0.1,0.9,0.9,112,0.01,10,0.203865657,0.796134343
5,5,100,0.1,0.7,0.7,80,0.01,10,0.203907782,0.796092218
5,5,100,0.1,0.7,0.7,80,0.1,10,0.203922584,0.796077416
9,9,100,0.1,0.9,0.9,112,1,10,0.2039237,0.7960763
9,9,200,0.05,0.7,0.7,48,0.01,10,0.203926372,0.796073628
9,9,200,0.05,0.7,0.7,48,0.1,10,0.203932239,0.796067761
5,5,200,0.05,0.9,0.9,112,0.01,10,0.203939298,0.796060702
9,9,200,0.05,0.7,0.7,48,1,10,0.203944914,0.796055086
7,7,200,0.05,0.9,0.9,112,0.1,10,0.203947509,0.796052491
5,5,200,0.05,0.9,0.9,112,0.1,10,0.203950816,0.796049184
5,5,200,0.05,0.9,0.9,112,1,10,0.203950971,0.796049029
7,7,200,0.05,0.9,0.9,112,0.01,10,0.203951009,0.796048991
7,7,200,0.05,0.9,0.9,112,1,10,0.203968823,0.796031177
9,9,200,0.05,0.9,0.9,112,0.1,10,0.203992886,0.796007114
9,9,200,0.05,0.9,0.9,112,0.01,10,0.203997117,0.796002883
9,9,200,0.05,0.9,0.9,112,1,10,0.204018663,0.795981337
3,3,100,0.1,0.9,0.9,16,0.1,10,0.204034659,0.795965341
5,5,100,0.1,0.7,0.7,80,1,10,0.204039541,0.795960459
3,3,100,0.1,0.9,0.9,16,1,10,0.2040468,0.7959532
3,3,100,0.1,0.9,0.9,16,0.01,10,0.204068261,0.795931739
3,3,100,0.1,0.9,0.9,48,1,10,0.204072871,0.795927129
3,3,100,0.1,0.9,0.9,80,0.1,10,0.204074409,0.795925591
3,3,100,0.1,0.9,0.9,80,0.01,10,0.204077212,0.795922788
3,3,100,0.1,0.9,0.9,80,1,10,0.204082514,0.795917486
3,3,100,0.1,0.9,0.9,48,0.1,10,0.20410623,0.79589377
7,7,100,0.1,0.7,0.7,80,0.1,10,0.204108792,0.795891208
7,7,100,0.1,0.7,0.7,80,0.01,10,0.20411793,0.79588207
3,3,100,0.1,0.9,0.9,48,0.01,10,0.20411873,0.79588127
3,3,200,0.05,0.9,0.9,16,1,10,0.204134502,0.795865498
7,7,100,0.1,0.7,0.7,80,1,10,0.204146906,0.795853094
3,3,200,0.05,0.9,0.9,48,1,10,0.204158889,0.795841111
3,3,200,0.05,0.9,0.9,16,0.1,10,0.204160614,0.795839386
3,3,200,0.05,0.9,0.9,80,1,10,0.204161836,0.795838164
3,3,200,0.05,0.9,0.9,80,0.1,10,0.204162075,0.795837925
3,3,200,0.05,0.9,0.9,80,0.01,10,0.204168118,0.795831882
3,3,200,0.05,0.9,0.9,16,0.01,10,0.20417911,0.79582089
9,9,100,0.1,0.7,0.7,80,0.01,10,0.204184922,0.795815078
3,3,200,0.05,0.9,0.9,48,0.1,10,0.204193042,0.795806958
9,9,100,0.1,0.7,0.7,80,0.1,10,0.204204152,0.795795848
3,3,200,0.05,0.9,0.9,48,0.01,10,0.204204791,0.795795209
5,5,200,0.05,0.7,0.7,80,0.01,10,0.204254957,0.795745043
5,5,200,0.05,0.7,0.7,80,0.1,10,0.204273526,0.795726474
9,9,100,0.1,0.7,0.7,80,1,10,0.204305471,0.795694529
5,5,200,0.05,0.7,0.7,80,1,10,0.204321941,0.795678059
3,3,200,0.05,0.9,0.9,112,1,10,0.204337828,0.795662172
3,3,200,0.05,0.9,0.9,112,0.1,10,0.204341703,0.795658297
3,3,200,0.05,0.9,0.9,112,0.01,10,0.204351332,0.795648668
7,7,200,0.05,0.7,0.7,80,0.01,10,0.204358181,0.795641819
7,7,200,0.05,0.7,0.7,80,0.1,10,0.204358994,0.795641006
7,7,200,0.05,0.7,0.7,80,1,10,0.204382909,0.795617091
9,9,200,0.05,0.7,0.7,80,0.01,10,0.204391023,0.795608977
9,9,200,0.05,0.7,0.7,80,0.1,10,0.204400915,0.795599085
7,7,200,0.05,0.9,0.9,144,0.1,10,0.204409522,0.795590478
7,7,200,0.05,0.9,0.9,144,0.01,10,0.204410226,0.795589774
7,7,200,0.05,0.5,0.5,16,0.01,10,0.204418084,0.795581916
7,7,200,0.05,0.9,0.9,144,1,10,0.204418737,0.795581263
7,7,200,0.05,0.5,0.5,16,0.1,10,0.204420148,0.795579852
9,9,200,0.05,0.9,0.9,144,0.1,10,0.204434487,0.795565513
5,5,200,0.05,0.9,0.9,144,1,10,0.204439331,0.795560669
5,5,200,0.05,0.9,0.9,144,0.01,10,0.204442278,0.795557722
9,9,200,0.05,0.9,0.9,144,0.01,10,0.204443862,0.795556138
5,5,200,0.05,0.9,0.9,144,0.1,10,0.204448748,0.795551252
9,9,200,0.05,0.9,0.9,144,1,10,0.204449735,0.795550265
9,9,200,0.05,0.7,0.7,80,1,10,0.204453334,0.795546666
3,3,200,0.05,0.9,0.9,144,0.01,10,0.204457163,0.795542837
3,3,200,0.05,0.9,0.9,144,0.1,10,0.204457943,0.795542057
3,3,200,0.05,0.9,0.9,144,1,10,0.204466293,0.795533707
5,5,200,0.05,0.5,0.5,16,0.01,10,0.204475929,0.795524071
5,5,200,0.05,0.5,0.5,16,0.1,10,0.204501851,0.795498149
5,5,200,0.05,0.5,0.5,16,1,10,0.204516835,0.795483165
3,3,100,0.1,0.9,0.9,112,1,10,0.204520531,0.795479469
3,3,100,0.1,0.9,0.9,112,0.1,10,0.204542425,0.795457575
3,3,200,0.05,0.7,0.7,48,0.01,10,0.20454785,0.79545215
3,3,200,0.05,0.7,0.7,48,0.1,10,0.204549064,0.795450936
3,3,100,0.1,0.9,0.9,112,0.01,10,0.204552873,0.795447127
3,3,200,0.05,0.7,0.7,48,1,10,0.204568061,0.795431939
5,5,200,0.05,0.5,0.5,48,1,10,0.204572293,0.795427707
7,7,200,0.05,0.5,0.5,16,1,10,0.204576847,0.795423153
3,3,200,0.05,0.7,0.7,16,1,10,0.204577726,0.795422274
3,3,200,0.05,0.7,0.7,16,0.1,10,0.204583948,0.795416052
5,5,200,0.05,0.5,0.5,48,0.1,10,0.204585342,0.795414658
3,3,200,0.05,0.7,0.7,16,0.01,10,0.204585493,0.795414507
3,3,100,0.1,0.7,0.7,48,0.01,10,0.204586812,0.795413188
5,5,200,0.05,0.5,0.5,48,0.01,10,0.204587646,0.795412354
3,3,100,0.1,0.7,0.7,48,1,10,0.204597441,0.795402559
7,7,200,0.05,0.5,0.5,48,0.01,10,0.204598277,0.795401723
7,7,200,0.05,0.5,0.5,48,0.1,10,0.204605962,0.795394038
3,3,100,0.1,0.7,0.7,48,0.1,10,0.204616452,0.795383548
3,3,200,0.05,0.7,0.7,80,0.01,10,0.204619285,0.795380715
3,3,200,0.05,0.7,0.7,80,0.1,10,0.204621285,0.795378715
9,9,200,0.05,0.5,0.5,16,0.1,10,0.204627394,0.795372606
9,9,200,0.05,0.5,0.5,16,0.01,10,0.204655359,0.795344641
3,3,200,0.05,0.7,0.7,80,1,10,0.204664745,0.795335255
3,3,100,0.1,0.7,0.7,80,0.01,10,0.204680604,0.795319396
3,3,100,0.1,0.7,0.7,80,0.1,10,0.204694194,0.795305806
7,7,200,0.05,0.5,0.5,48,1,10,0.20469662,0.79530338
3,3,100,0.1,0.7,0.7,16,1,10,0.204712859,0.795287141
9,9,200,0.05,0.5,0.5,16,1,10,0.20471291,0.79528709
9,9,100,0.1,0.9,0.9,144,0.1,10,0.204717678,0.795282322
7,7,100,0.1,0.9,0.9,144,1,10,0.204734622,0.795265378
9,9,100,0.1,0.9,0.9,144,0.01,10,0.204739057,0.795260943
5,5,100,0.1,0.9,0.9,144,0.01,10,0.204753549,0.795246451
9,9,100,0.1,0.9,0.9,144,1,10,0.204758341,0.795241659
7,7,100,0.1,0.9,0.9,144,0.01,10,0.204768967,0.795231033
9,9,200,0.05,0.5,0.5,48,0.01,10,0.204770281,0.795229719
5,5,100,0.1,0.9,0.9,144,0.1,10,0.204770819,0.795229181
7,7,100,0.1,0.9,0.9,144,0.1,10,0.20477149,0.79522851
9,9,200,0.05,0.5,0.5,48,0.1,10,0.204777052,0.795222948
3,3,100,0.1,0.7,0.7,80,1,10,0.204785684,0.795214316
3,3,100,0.1,0.7,0.7,16,0.01,10,0.20481616,0.79518384
5,5,100,0.1,0.9,0.9,144,1,10,0.204816474,0.795183526
9,9,200,0.05,0.5,0.5,48,1,10,0.204820656,0.795179344
3,3,100,0.1,0.7,0.7,16,0.1,10,0.204828068,0.795171932
3,3,100,0.1,0.9,0.9,144,1,10,0.204856893,0.795143107
5,5,200,0.05,0.7,0.7,112,1,10,0.204883295,0.795116705
5,5,200,0.05,0.7,0.7,112,0.01,10,0.204889217,0.795110783
7,7,200,0.05,0.7,0.7,112,0.1,10,0.204892486,0.795107514
7,7,200,0.05,0.7,0.7,112,1,10,0.204893548,0.795106452
7,7,200,0.05,0.7,0.7,112,0.01,10,0.204893656,0.795106344
5,5,200,0.05,0.7,0.7,112,0.1,10,0.204899731,0.795100269
9,9,200,0.05,0.7,0.7,112,0.1,10,0.204905994,0.795094006
3,3,200,0.05,0.7,0.7,112,0.01,10,0.20490731,0.79509269
9,9,200,0.05,0.7,0.7,112,0.01,10,0.204908785,0.795091215
3,3,200,0.05,0.7,0.7,112,0.1,10,0.204909115,0.795090885
3,3,200,0.05,0.5,0.5,48,0.01,10,0.204911943,0.795088057
9,9,200,0.05,0.7,0.7,112,1,10,0.204912718,0.795087282
3,3,100,0.1,0.9,0.9,144,0.1,10,0.204919467,0.795080533
3,3,100,0.1,0.9,0.9,144,0.01,10,0.204923009,0.795076991
3,3,200,0.05,0.5,0.5,48,0.1,10,0.204926345,0.795073655
3,3,200,0.05,0.7,0.7,112,1,10,0.204939125,0.795060875
3,3,200,0.05,0.5,0.5,48,1,10,0.20497461,0.79502539
3,3,200,0.05,0.5,0.5,16,0.01,10,0.205053558,0.794946442
3,3,200,0.05,0.5,0.5,16,0.1,10,0.205066691,0.794933309
5,5,100,0.1,0.7,0.7,112,1,10,0.205086299,0.794913701
7,7,100,0.1,0.5,0.5,16,0.01,10,0.205089278,0.794910722
7,7,100,0.1,0.7,0.7,112,1,10,0.205105705,0.794894295
5,5,100,0.1,0.7,0.7,112,0.01,10,0.205114103,0.794885897
7,7,100,0.1,0.5,0.5,16,0.1,10,0.205124097,0.794875903
7,7,100,0.1,0.7,0.7,112,0.1,10,0.205124298,0.794875702
5,5,100,0.1,0.7,0.7,112,0.1,10,0.20512551,0.79487449
3,3,200,0.05,0.5,0.5,16,1,10,0.205137167,0.794862833
7,7,100,0.1,0.7,0.7,112,0.01,10,0.205140887,0.794859113
9,9,100,0.1,0.7,0.7,112,0.01,10,0.205145113,0.794854887
9,9,100,0.1,0.7,0.7,112,0.1,10,0.205146934,0.794853066
3,3,200,0.05,0.5,0.5,80,0.01,10,0.205151154,0.794848846
3,3,100,0.1,0.7,0.7,112,0.01,10,0.205155264,0.794844736
3,3,200,0.05,0.5,0.5,80,0.1,10,0.205157815,0.794842185
3,3,100,0.1,0.7,0.7,112,0.1,10,0.205166444,0.794833556
5,5,200,0.05,0.5,0.5,80,0.01,10,0.205178252,0.794821748
5,5,200,0.05,0.5,0.5,80,0.1,10,0.205180533,0.794819467
5,5,200,0.05,0.5,0.5,80,1,10,0.205185277,0.794814723
3,3,200,0.05,0.5,0.5,80,1,10,0.205193565,0.794806435
9,9,100,0.1,0.7,0.7,112,1,10,0.205200556,0.794799444
7,7,200,0.05,0.5,0.5,80,0.01,10,0.205203168,0.794796832
7,7,200,0.05,0.5,0.5,80,0.1,10,0.205205677,0.794794323
